company,create_time,job_city,job_id,job_name,key_word,salary,salary_avg,salary_max,salary_min
东莞市百达云图网络科技有限公司,2018-05-05 00:00:00,东莞-虎门镇,101421567,PHP开发工程师,PHP,6-8千/月,11.0,8.0,6.0
广东唐古拉文化创意有限公司,2018-05-05 00:00:00,东莞-莞城区,90617070,PHP开发工程师,PHP,4.5-6千/月,8.25,6.0,4.5
东莞市科锐网络科技有限公司,2018-05-05 00:00:00,东莞,98346536,PHP开发工程师招聘,PHP,6-8千/月,11.0,8.0,6.0
东莞商展控股有限公司,2018-05-05 00:00:00,东莞-南城区,101813113,PHP程序员/助理,PHP,4-6千/月,8.0,6.0,4.0
东莞市星脉软件科技有限公司,2018-05-05 00:00:00,东莞-南城区,101808429,PHP开发工程师(实习),PHP,3-6千/月,7.5,6.0,3.0
东莞市诚誉商务信息咨询有限公司,2018-05-05 00:00:00,东莞-南城区,98744458,PHP工程师（双休五险一金）,PHP,0.8-1万/月,14.0,10.0,8.0
东莞市天宇网络技术股份有限公司,2018-05-05 00:00:00,东莞,77938299,PHP程序员,PHP,6-8千/月,11.0,8.0,6.0
广东快客电子商务有限公司（KK馆）,2018-05-05 00:00:00,东莞,101235649,初级PHP工程师,PHP,4.5-8千/月,10.25,8.0,4.5
广东八块钱网络科技有限公司东莞分...,2018-05-05 00:00:00,东莞,92245429,PHP开发工程师,PHP,0.6-1万/月,13.0,10.0,6.0
广东尚睿网络技术有限公司,2018-05-05 00:00:00,东莞,101330211,PHP开发工程师,PHP,6-9千/月,12.0,9.0,6.0
东莞爱尔眼科医院有限公司,2018-05-05 00:00:00,东莞-东城区,69010591,网站PHP程序员,PHP,5-8千/月,10.5,8.0,5.0
东莞微音信息科技有限公司,2018-05-05 00:00:00,东莞-松山湖区,97415187,PHP编程实习生,PHP,2-3千/月,4.0,3.0,2.0
东莞市千源社资产管理有限公司,2018-05-05 00:00:00,东莞,96750931,PHP程序员,PHP,4.5-6千/月,8.25,6.0,4.5
东莞市商二信息科技有限公司,2018-05-05 00:00:00,东莞-南城区,99094496,PHP开发主管,PHP,0.8-2万/月,24.0,20.0,8.0
东莞市易工信息科技有限公司,2018-05-05 00:00:00,东莞-松山湖区,101493270,PHP开发工程师,PHP,0.8-1.1万/月,15.0,11.0,8.0
广东如一商务服务有限公司,2018-05-05 00:00:00,东莞-东城区,101568208,PHP开发工程师,PHP,0.6-1万/月,13.0,10.0,6.0
东莞嘉言金品珠宝科技有限公司,2018-05-05 00:00:00,东莞,98138529,初级PHP开发工程师,PHP,4-7千/月,9.0,7.0,4.0
广东朝阳企讯通科技有限公司,2018-05-05 00:00:00,东莞-莞城区,70470737,PHP程序员,PHP,0.8-2万/月,24.0,20.0,8.0
东莞市奥马实业投资有限公司,2018-05-05 00:00:00,东莞-松山湖区,96709523,高级PHP工程师,PHP,1-1.5万/月,20.0,15.0,10.0
东莞市耐萨斯自动化科技有限公司,2018-05-05 00:00:00,东莞-长安镇,98727569,PHP工程师,PHP,1-1.5万/月,20.0,15.0,10.0
东莞市信发置业顾问有限公司,2018-05-05 00:00:00,东莞,97543096,PHP开发工程师,PHP,6-7.5千/月,10.5,7.5,6.0
东莞市蓝天电脑软件咨询有限公司,2018-05-05 00:00:00,东莞,97298208,PHP开发工程师,PHP,5-8千/月,10.5,8.0,5.0
东莞博力威电池有限公司,2018-05-05 00:00:00,东莞,99078034,PHP开发工程师,PHP,1-1.5万/月,20.0,15.0,10.0
广东万集电子商务科技有限公司,2018-05-05 00:00:00,东莞-长安镇,101729818,PHP程序员,PHP,4.5-6千/月,8.25,6.0,4.5
东莞市互越网络科技有限公司,2018-05-05 00:00:00,东莞-莞城区,101719642,PHP实习生,PHP,4.5-6千/月,8.25,6.0,4.5
