salary,job_id,bottomSalary,company,time,address,topSalary,job_name
1.5-3万/月,97040833,15.0,嘉才（北京）企业管理咨询有限公司,12-17,北京-海淀区,30.0,Python爬虫工程师
0.8-1万/月,97040299,8.0,上海意赋教育科技有限公司,12-17,上海-杨浦区,10.0,Python后端开发工程师
4.5-6千/月,97039868,4.5,湖南泥巴公社装饰设计工程有限公司,12-17,长沙-岳麓区,6.0,Python web研发工程师
1-1.5万/月,97037597,10.0,上海众言网络科技有限公司,12-17,苏州,15.0,python
1-1.5万/月,96816057,10.0,上海探坤数据科技有限责任公司,12-17,上海-浦东新区,15.0,后端开发工程师（Python）
1.5-2万/月,96697460,15.0,广州融智电子商务有限公司,12-17,广州-白云区,20.0,Python开发工程师
0.8-2万/月,95752678,8.0,广州亿爱贸易有限公司,12-17,广州-番禺区,20.0,Python开发工程师/Python工程师
1-1.5万/月,97033265,10.0,北京创新在线电子产品销售有限公司...,12-17,深圳-福田区,15.0,python程序员
4.5-6千/月,97030009,4.5,北京信达泰和数据技术有限公司,12-17,哈尔滨-松北区,6.0,Python开发工程师
30-40万/年,97021109,25.0,阿斯麦-中国,12-17,深圳-南山区,33.3333333333,C++/Python后台软件开发高级工程师
15-20万/年,97020419,12.5,广州麦仑信息科技有限公司,12-17,广州-天河区,16.6666666667,Python 开发工程师
15-30万/年,97014422,12.5,博动医学影像科技（上海）有限公司,12-17,上海-徐汇区,25.0,Python软件工程师
0.6-1万/月,97001794,6.0,广州佰聆数据股份有限公司,12-17,广州-黄埔区,10.0,Python开发工程师
0.8-1万/月,96999417,8.0,广东中信佳诚教育科技有限公司,12-17,广州-番禺区,10.0,python编程讲师
15-20万/年,96654707,12.5,武汉朱雀闻天科技有限公司,12-17,武汉,16.6666666667,Python开发工程师
1.5-3万/月,96171686,15.0,英属维尔京群岛乐伯市场管理有限公...,12-17,上海-黄浦区,30.0,Python（Django） 开发工程师
1.5-2万/月,96153226,15.0,北京中体骏彩信息技术有限公司,12-17,北京-朝阳区,20.0,Python开发工程师
1.5-2万/月,96106318,15.0,微弄堂（苏州）数字技术有限公司,12-17,苏州-吴江区,20.0,Python高级开发工程师
1.5-2万/月,95127910,15.0,北京棣南新宇科技有限公司,12-17,北京-海淀区,20.0,Python高级开发工程师
1-1.5万/月,93730955,10.0,浪潮通软公司,12-17,深圳,15.0,Python开发工程师
1.5-3万/月,93677712,15.0,深圳市乐易网络股份有限公司,12-17,深圳-南山区,30.0,python开发工程师
1.5-2万/月,93224354,15.0,上海久富投资控股有限公司,12-17,上海-浦东新区,20.0,Python爬虫工程师
1-1.5万/月,89365243,10.0,上海万雍科技股份有限公司,12-17,上海-徐汇区,15.0,python+dns研发工程师
1.5-4万/月,88848296,15.0,上海华瑞银行股份有限公司,12-17,上海-浦东新区,40.0,Python开发工程师
0.5-1万/月,75043734,5.0,深圳市风云实业有限公司,12-17,成都-青羊区,10.0,python开发工程师
1-1.5万/月,74386758,10.0,成都比目鱼文化传媒有限公司,12-17,成都-武侯区,15.0,Python开发工程师
1.5-2万/月,96994581,15.0,深圳市德科信息技术有限公司,12-17,上海-浦东新区,20.0,Python开发工程师
0.8-1万/月,96982088,8.0,高伟达软件股份有限公司,12-17,异地招聘,10.0,Python开发工程师（新网银行）(1308)
1.5-3万/月,96979453,15.0,深圳市新一代信息技术研究院有限公司,12-17,深圳-宝安区,30.0,Python讲师
